municipality,municipality_id,district,district_id,supply_demand_year,typology,layout,total_supply,SHAPE_Length,SHAPE_Area
Abu Dhabi City,41,AL REEM ISLAND,57,2025,Villa / Townhouse,3 beds,107,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2025,Villa / Townhouse,All beds,400,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2025,Villa / Townhouse,Undefined,143,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2026,All property types,1 bed,12185,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2026,All property types,2 beds,9585,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2026,All property types,3 beds,3841,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2026,All property types,4 beds,1014,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2026,All property types,5 beds,151,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2026,All property types,All beds,27568,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2026,All property types,Studio,441,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2026,All property types,Undefined,294,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2026,Apartment / Duplex,1 bed,12185,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2026,Apartment / Duplex,2 beds,9497,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2026,Apartment / Duplex,3 beds,3546,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2026,Apartment / Duplex,4 beds,898,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2026,Apartment / Duplex,5 beds,139,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2026,Apartment / Duplex,All beds,26847,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2026,Apartment / Duplex,Studio,441,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2026,Apartment / Duplex,Undefined,120,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2026,Villa / Townhouse,2 beds,88,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2026,Villa / Townhouse,3 beds,295,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2026,Villa / Townhouse,4 beds,116,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2026,Villa / Townhouse,All beds,721,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2026,Villa / Townhouse,Undefined,174,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,All property types,1 bed,12375,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,All property types,2 beds,9652,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,All property types,3 beds,4221,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,All property types,4 beds,1220,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,All property types,5 beds,229,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,All property types,6 beds,120,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,All property types,7+ beds,95,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,All property types,All beds,28882,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,All property types,Studio,441,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,All property types,Undefined,529,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,Apartment / Duplex,1 bed,12375,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,Apartment / Duplex,2 beds,9564,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,Apartment / Duplex,3 beds,3554,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,Apartment / Duplex,4 beds,898,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,Apartment / Duplex,5 beds,139,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,Apartment / Duplex,All beds,27112,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,Apartment / Duplex,Studio,441,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,Apartment / Duplex,Undefined,120,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,Villa / Townhouse,2 beds,88,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,Villa / Townhouse,3 beds,667,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,Villa / Townhouse,4 beds,322,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,Villa / Townhouse,5 beds,90,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,Villa / Townhouse,6 beds,100,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,Villa / Townhouse,7+ beds,94,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,Villa / Townhouse,All beds,1770,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2027,Villa / Townhouse,Undefined,409,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,All property types,1 bed,13426,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,All property types,2 beds,10382,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,All property types,3 beds,4491,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,All property types,4 beds,1223,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,All property types,5 beds,231,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,All property types,6 beds,120,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,All property types,7+ beds,95,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,All property types,All beds,31172,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,All property types,Studio,674,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,All property types,Undefined,530,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,Apartment / Duplex,1 bed,13426,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,Apartment / Duplex,2 beds,10294,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,Apartment / Duplex,3 beds,3824,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,Apartment / Duplex,4 beds,901,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,Apartment / Duplex,5 beds,141,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,Apartment / Duplex,All beds,29401,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,Apartment / Duplex,Studio,674,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,Apartment / Duplex,Undefined,120,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,Villa / Townhouse,2 beds,88,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,Villa / Townhouse,3 beds,667,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,Villa / Townhouse,4 beds,322,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,Villa / Townhouse,5 beds,90,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,Villa / Townhouse,6 beds,100,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,Villa / Townhouse,7+ beds,94,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,Villa / Townhouse,All beds,1771,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,AL REEM ISLAND,57,2028,Villa / Townhouse,Undefined,410,14025.183842866346822,12889332.855498872697353
